Acoustics	http://eurovoc.europa.eu/3291
Aerodynamics	http://eurovoc.europa.eu/4107
Agronomy	http://eurovoc.europa.eu/685
Analytical chemistry	http://eurovoc.europa.eu/5300
Applied sciences	http://eurovoc.europa.eu/3949
Astronautics	http://eurovoc.europa.eu/6383
Astronomy	http://eurovoc.europa.eu/3790
Atom	http://eurovoc.europa.eu/5299
Biochemistry	http://eurovoc.europa.eu/4889
Biology	http://eurovoc.europa.eu/4921
Biometrics	http://eurovoc.europa.eu/7410
Botany	http://eurovoc.europa.eu/5028
Cartography	http://eurovoc.europa.eu/5269
Chemistry	http://eurovoc.europa.eu/5966
Climatology	http://eurovoc.europa.eu/6384
Cosmology	http://eurovoc.europa.eu/6716
Cultural geography	http://eurovoc.europa.eu/6387
Cybernetics	http://eurovoc.europa.eu/3293
Cytology	http://eurovoc.europa.eu/5303
Earth observation	http://eurovoc.europa.eu/c_a935cf3f
Earth sciences	http://eurovoc.europa.eu/3952
Ecology	http://eurovoc.europa.eu/632
Economic geography	http://eurovoc.europa.eu/1149
Electrochemistry	http://eurovoc.europa.eu/707
Electronics	http://eurovoc.europa.eu/709
Electrotechnology	http://eurovoc.europa.eu/710
Embryo and foetus	http://eurovoc.europa.eu/5608
Environmental research	http://eurovoc.europa.eu/2919
Fundamental particle	http://eurovoc.europa.eu/5298
Genetics	http://eurovoc.europa.eu/5651
Geochemistry	http://eurovoc.europa.eu/1147
Geographical information system	http://eurovoc.europa.eu/7218
Geography	http://eurovoc.europa.eu/1148
Geology	http://eurovoc.europa.eu/1151
Geomorphology	http://eurovoc.europa.eu/6390
Geophysics	http://eurovoc.europa.eu/1152
Hazard science	http://eurovoc.europa.eu/6715
Histology	http://eurovoc.europa.eu/1246
Historical geography	http://eurovoc.europa.eu/7360
Human geography	http://eurovoc.europa.eu/6388
Hydrogeology	http://eurovoc.europa.eu/1276
Hydrology	http://eurovoc.europa.eu/1278
Industrial chemistry	http://eurovoc.europa.eu/5968
Information science	http://eurovoc.europa.eu/3925
Ionising radiation	http://eurovoc.europa.eu/5287
Laser physics	http://eurovoc.europa.eu/4110
Life sciences	http://eurovoc.europa.eu/3941
Mathematics	http://eurovoc.europa.eu/1835
Medical science	http://eurovoc.europa.eu/5881
Meteorology	http://eurovoc.europa.eu/1892
Metrology	http://eurovoc.europa.eu/1896
Microorganism	http://eurovoc.europa.eu/5740
Mineralogy	http://eurovoc.europa.eu/1936
Neurobiology	http://eurovoc.europa.eu/3282
Nuclear physics	http://eurovoc.europa.eu/2376
Oceanography	http://eurovoc.europa.eu/2114
Optics	http://eurovoc.europa.eu/3292
Parasitology	http://eurovoc.europa.eu/2232
Petrology	http://eurovoc.europa.eu/3294
Pharmacology	http://eurovoc.europa.eu/2367
Pharmacy	http://eurovoc.europa.eu/7355
Photochemistry	http://eurovoc.europa.eu/2373
Photographic industry	http://eurovoc.europa.eu/1416
Physical sciences	http://eurovoc.europa.eu/3946
Plasma physics	http://eurovoc.europa.eu/4109
Political geography	http://eurovoc.europa.eu/1150
Radiobiology	http://eurovoc.europa.eu/5338
Regional geography	http://eurovoc.europa.eu/6389
Sedimentology	http://eurovoc.europa.eu/6391
Seismology	http://eurovoc.europa.eu/4176
Social sciences	http://eurovoc.europa.eu/3956
Soil analysis	http://eurovoc.europa.eu/6381
Soil chemistry	http://eurovoc.europa.eu/6386
Soil science	http://eurovoc.europa.eu/3931
Soil type	http://eurovoc.europa.eu/6392
Space science	http://eurovoc.europa.eu/6382
Spectrometry	http://eurovoc.europa.eu/5301
Stem cell	http://eurovoc.europa.eu/7955
Thermodynamics	http://eurovoc.europa.eu/4108
Volcanology	http://eurovoc.europa.eu/4770
Zoology	http://eurovoc.europa.eu/4810
